Feature,Score
User,124
Amount,161
MCC,208
Cards Issued,9
Latitude,97
Longitude,84
admin code2,107
Num Credit Cards,78
merchant_latitude,118
merchant_longitude,142
accuracy,0
Month,53
DayOfWeek,36
Day,91
Hour,142
DaysSinceAcctOpen,245
Current Age,112
DistanceTransactionToMerchant,259
DirectionTransactionToMerchant,165
Use Chip__Chip Transaction,33
Use Chip__Swipe Transaction,7
Errors?__Bad CVV,0
Errors?__Bad PIN,30
"Errors?__Bad PIN,Insufficient Balance",0
"Errors?__Bad PIN,Technical Glitch",0
Errors?__Bad Zipcode,0
"Errors?__Bad Zipcode,Insufficient Balance",0
"Errors?__Bad Zipcode,Technical Glitch",0
Errors?__Insufficient Balance,21
"Errors?__Insufficient Balance,Technical Glitch",0
Errors?__Technical Glitch,4
Card Brand__Amex,0
Card Brand__Discover,0
Card Brand__Mastercard,9
Card Brand__Visa,14
Card Type__Credit,22
Card Type__Debit,2
Card Type__Debit (Prepaid),8
Has Chip__NO,2
Has Chip__YES,2
Card on Dark Web__No,0
Gender__Female,6
Gender__Male,1
country code__US,0
admin name1__Alabama,0
admin name1__Alaska,0
admin name1__Arizona,0
admin name1__Arkansas,25
admin name1__California,0
admin name1__Colorado,0
admin name1__Connecticut,0
admin name1__Delaware,0
admin name1__District of Columbia,0
admin name1__Florida,2
admin name1__Georgia,7
admin name1__Hawaii,0
admin name1__Idaho,0
admin name1__Illinois,0
admin name1__Indiana,0
admin name1__Iowa,0
admin name1__Kansas,0
admin name1__Kentucky,3
admin name1__Louisiana,0
admin name1__Maine,0
admin name1__Maryland,1
admin name1__Massachusetts,0
admin name1__Michigan,0
admin name1__Minnesota,0
admin name1__Mississippi,0
admin name1__Missouri,0
admin name1__Montana,0
admin name1__Nebraska,0
admin name1__Nevada,0
admin name1__New Hampshire,0
admin name1__New Jersey,0
admin name1__New Mexico,0
admin name1__New York,0
admin name1__North Carolina,0
admin name1__North Dakota,0
admin name1__Ohio,18
admin name1__Oklahoma,6
admin name1__Oregon,0
admin name1__Pennsylvania,0
admin name1__Rhode Island,0
admin name1__South Carolina,10
admin name1__South Dakota,0
admin name1__Tennessee,12
admin name1__Texas,6
admin name1__Utah,4
admin name1__Vermont,0
admin name1__Virginia,0
admin name1__Washington,18
admin name1__West Virginia,0
admin name1__Wisconsin,0
admin name1__Wyoming,0
admin code1__AK,0
admin code1__AL,0
admin code1__AR,0
admin code1__AZ,0
admin code1__CA,0
admin code1__CO,0
admin code1__CT,0
admin code1__DC,0
admin code1__DE,0
admin code1__FL,0
admin code1__GA,0
admin code1__HI,0
admin code1__IA,0
admin code1__ID,0
admin code1__IL,0
admin code1__IN,0
admin code1__KS,0
admin code1__KY,0
admin code1__LA,0
admin code1__MA,0
admin code1__MD,0
admin code1__ME,0
admin code1__MI,0
admin code1__MN,0
admin code1__MO,0
admin code1__MS,0
admin code1__MT,0
admin code1__NC,0
admin code1__ND,0
admin code1__NE,0
admin code1__NH,0
admin code1__NJ,0
admin code1__NM,0
admin code1__NV,0
admin code1__NY,0
admin code1__OH,0
admin code1__OK,0
admin code1__OR,0
admin code1__PA,0
admin code1__RI,0
admin code1__SC,0
admin code1__SD,0
admin code1__TN,0
admin code1__TX,0
admin code1__UT,0
admin code1__VA,0
admin code1__VT,0
admin code1__WA,0
admin code1__WI,0
admin code1__WV,0
admin code1__WY,0
admin name2__Acadia,0
admin name2__Accomack,0
admin name2__Ada,0
admin name2__Adair,0
admin name2__Adams,0
admin name2__Addison,0
admin name2__Aiken,0
admin name2__Alachua,0
admin name2__Alamance,0
admin name2__Alameda,13
admin name2__Albany,0
admin name2__Alcorn,0
admin name2__Allegan,0
admin name2__Allegheny,0
admin name2__Allen,0
admin name2__Alpena,0
admin name2__Anchorage Municipality,0
admin name2__Anderson,0
admin name2__Andrew,0
admin name2__Andrews,0
admin name2__Androscoggin,0
admin name2__Angelina,0
admin name2__Anne Arundel,18
admin name2__Anoka,0
admin name2__Anson,0
